graph_path,type,order,density,id,runtime_igraph,is_perfect_igraph,runtime_ours,is_perfect_ours
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00010_75000_00004.txt,barabasi-albert,00010,75000,00004,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00010_75000_00005.txt,barabasi-albert,00010,75000,00005,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00010_75000_00006.txt,barabasi-albert,00010,75000,00006,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00010_75000_00007.txt,barabasi-albert,00010,75000,00007,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00010_75000_00008.txt,barabasi-albert,00010,75000,00008,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00010_75000_00009.txt,barabasi-albert,00010,75000,00009,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00010_75000_00010.txt,barabasi-albert,00010,75000,00010,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_25000_00001.txt,barabasi-albert,00025,25000,00001,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_25000_00002.txt,barabasi-albert,00025,25000,00002,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_25000_00003.txt,barabasi-albert,00025,25000,00003,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_25000_00004.txt,barabasi-albert,00025,25000,00004,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_25000_00005.txt,barabasi-albert,00025,25000,00005,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_25000_00006.txt,barabasi-albert,00025,25000,00006,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_25000_00007.txt,barabasi-albert,00025,25000,00007,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_25000_00008.txt,barabasi-albert,00025,25000,00008,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_25000_00009.txt,barabasi-albert,00025,25000,00009,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_25000_00010.txt,barabasi-albert,00025,25000,00010,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_50000_00001.txt,barabasi-albert,00025,50000,00001,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_50000_00002.txt,barabasi-albert,00025,50000,00002,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_50000_00003.txt,barabasi-albert,00025,50000,00003,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_50000_00004.txt,barabasi-albert,00025,50000,00004,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_50000_00005.txt,barabasi-albert,00025,50000,00005,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_50000_00006.txt,barabasi-albert,00025,50000,00006,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_50000_00007.txt,barabasi-albert,00025,50000,00007,4,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_50000_00008.txt,barabasi-albert,00025,50000,00008,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_50000_00009.txt,barabasi-albert,00025,50000,00009,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_50000_00010.txt,barabasi-albert,00025,50000,00010,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_75000_00001.txt,barabasi-albert,00025,75000,00001,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_75000_00002.txt,barabasi-albert,00025,75000,00002,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_75000_00003.txt,barabasi-albert,00025,75000,00003,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_75000_00004.txt,barabasi-albert,00025,75000,00004,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_75000_00005.txt,barabasi-albert,00025,75000,00005,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_75000_00006.txt,barabasi-albert,00025,75000,00006,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_75000_00007.txt,barabasi-albert,00025,75000,00007,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_75000_00008.txt,barabasi-albert,00025,75000,00008,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_75000_00009.txt,barabasi-albert,00025,75000,00009,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00025_75000_00010.txt,barabasi-albert,00025,75000,00010,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_25000_00001.txt,barabasi-albert,00050,25000,00001,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_25000_00002.txt,barabasi-albert,00050,25000,00002,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_25000_00003.txt,barabasi-albert,00050,25000,00003,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_25000_00004.txt,barabasi-albert,00050,25000,00004,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_25000_00005.txt,barabasi-albert,00050,25000,00005,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_25000_00006.txt,barabasi-albert,00050,25000,00006,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_25000_00007.txt,barabasi-albert,00050,25000,00007,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_25000_00008.txt,barabasi-albert,00050,25000,00008,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_25000_00009.txt,barabasi-albert,00050,25000,00009,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_25000_00010.txt,barabasi-albert,00050,25000,00010,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_50000_00001.txt,barabasi-albert,00050,50000,00001,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_50000_00002.txt,barabasi-albert,00050,50000,00002,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_50000_00003.txt,barabasi-albert,00050,50000,00003,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_50000_00004.txt,barabasi-albert,00050,50000,00004,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_50000_00005.txt,barabasi-albert,00050,50000,00005,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_50000_00006.txt,barabasi-albert,00050,50000,00006,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_50000_00007.txt,barabasi-albert,00050,50000,00007,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_50000_00008.txt,barabasi-albert,00050,50000,00008,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_50000_00009.txt,barabasi-albert,00050,50000,00009,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_50000_00010.txt,barabasi-albert,00050,50000,00010,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_75000_00001.txt,barabasi-albert,00050,75000,00001,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_75000_00002.txt,barabasi-albert,00050,75000,00002,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_75000_00003.txt,barabasi-albert,00050,75000,00003,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_75000_00004.txt,barabasi-albert,00050,75000,00004,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_75000_00005.txt,barabasi-albert,00050,75000,00005,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_75000_00006.txt,barabasi-albert,00050,75000,00006,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_75000_00007.txt,barabasi-albert,00050,75000,00007,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_75000_00008.txt,barabasi-albert,00050,75000,00008,0,0,0,0
/Users/burakerdem/graphs/is_perfect_test/graph_barabasi-albert_00050_75000_00009.txt,barabasi-albert,00050,75000,00009,0,0,0,0
