graph_path,type,order,density,id,runtime_ours,is_perfect_ours
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_50000_00006.txt,perfectOperations,01000,50000,00006,42514,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_50000_00007.txt,perfectOperations,01000,50000,00007,37382,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_50000_00008.txt,perfectOperations,01000,50000,00008,39190,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_50000_00009.txt,perfectOperations,01000,50000,00009,47817,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_50000_00010.txt,perfectOperations,01000,50000,00010,40794,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_75000_00001.txt,perfectOperations,01000,75000,00001,35703,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_75000_00002.txt,perfectOperations,01000,75000,00002,39420,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_75000_00003.txt,perfectOperations,01000,75000,00003,33436,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_75000_00004.txt,perfectOperations,01000,75000,00004,34693,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_75000_00005.txt,perfectOperations,01000,75000,00005,39042,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_75000_00006.txt,perfectOperations,01000,75000,00006,37647,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_75000_00007.txt,perfectOperations,01000,75000,00007,34491,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_75000_00008.txt,perfectOperations,01000,75000,00008,34317,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_75000_00009.txt,perfectOperations,01000,75000,00009,26770,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_75000_00010.txt,perfectOperations,01000,75000,00010,31605,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_25000_00001.txt,perfectOperations,02000,25000,00001,715067,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_25000_00002.txt,perfectOperations,02000,25000,00002,721764,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_25000_00003.txt,perfectOperations,02000,25000,00003,666168,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_25000_00004.txt,perfectOperations,02000,25000,00004,579393,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_25000_00005.txt,perfectOperations,02000,25000,00005,763240,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_25000_00006.txt,perfectOperations,02000,25000,00006,693465,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_25000_00007.txt,perfectOperations,02000,25000,00007,640811,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_25000_00008.txt,perfectOperations,02000,25000,00008,701985,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_25000_00009.txt,perfectOperations,02000,25000,00009,647216,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_25000_00010.txt,perfectOperations,02000,25000,00010,613137,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_50000_00001.txt,perfectOperations,02000,50000,00001,670093,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_50000_00002.txt,perfectOperations,02000,50000,00002,702905,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_50000_00003.txt,perfectOperations,02000,50000,00003,5703166,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_50000_00004.txt,perfectOperations,02000,50000,00004,759173,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_50000_00005.txt,perfectOperations,02000,50000,00005,690284,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_50000_00006.txt,perfectOperations,02000,50000,00006,804188,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_50000_00007.txt,perfectOperations,02000,50000,00007,719404,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_50000_00008.txt,perfectOperations,02000,50000,00008,890350,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_50000_00009.txt,perfectOperations,02000,50000,00009,721011,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_50000_00010.txt,perfectOperations,02000,50000,00010,816330,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_75000_00001.txt,perfectOperations,02000,75000,00001,706543,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_75000_00002.txt,perfectOperations,02000,75000,00002,736125,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_75000_00003.txt,perfectOperations,02000,75000,00003,665182,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_75000_00004.txt,perfectOperations,02000,75000,00004,831300,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_75000_00005.txt,perfectOperations,02000,75000,00005,685155,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_75000_00006.txt,perfectOperations,02000,75000,00006,684819,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_75000_00007.txt,perfectOperations,02000,75000,00007,675993,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_75000_00008.txt,perfectOperations,02000,75000,00008,622909,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_75000_00009.txt,perfectOperations,02000,75000,00009,701256,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_02000_75000_00010.txt,perfectOperations,02000,75000,00010,646133,1
